timestamp,nifty_spot,expiry,strike,option_type,ltp,bid,ask,volume,oi,oi_change,iv
2026-09-22 14:09:22,23304.9,2026-09-22,22800.0,CE,492.8,491.15,493.1,1617,797,-481,
2026-09-22 14:09:22,23304.9,2026-09-22,22800.0,PE,0.3,0.3,0.35,1331402,151525,14359,16.42
2026-09-22 14:09:22,23304.9,2026-09-22,22850.0,CE,444.0,441.35,443.3,763,501,-240,
2026-09-22 14:09:22,23304.9,2026-09-22,22850.0,PE,0.35,0.35,0.4,894115,50770,9997,14.97
2026-09-22 14:09:22,23304.9,2026-09-22,22900.0,CE,391.45,391.45,392.85,4119,952,-976,
2026-09-22 14:09:22,23304.9,2026-09-22,22900.0,PE,0.55,0.5,0.55,1714979,138070,4586,14.35
2026-09-22 14:09:22,23304.9,2026-09-22,22950.0,CE,342.1,341.9,343.0,3041,1292,-22,
2026-09-22 14:09:22,23304.9,2026-09-22,22950.0,PE,0.8,0.75,0.8,1203696,83923,16458,13.5
2026-09-22 14:09:22,23304.9,2026-09-22,23000.0,CE,293.65,293.05,293.85,50436,11003,4533,
2026-09-22 14:09:22,23304.9,2026-09-22,23000.0,PE,1.35,1.3,1.35,3372754,236602,46863,12.71
2026-09-22 14:09:22,23304.9,2026-09-22,23050.0,CE,243.8,243.65,244.35,14024,2605,314,
2026-09-22 14:09:22,23304.9,2026-09-22,23050.0,PE,2.1,2.1,2.15,3117604,95101,21910,12.01
2026-09-22 14:09:22,23304.9,2026-09-22,23100.0,CE,196.05,195.6,195.9,96154,10977,3549,
2026-09-22 14:09:22,23304.9,2026-09-22,23100.0,PE,3.65,3.65,3.7,5215446,212362,67521,11.46
2026-09-22 14:09:22,23304.9,2026-09-22,23150.0,CE,149.0,148.65,148.95,156122,11248,7390,
2026-09-22 14:09:22,23304.9,2026-09-22,23150.0,PE,7.0,6.95,7.0,5394069,234835,139628,11.06
2026-09-22 14:09:22,23304.9,2026-09-22,23200.0,CE,105.75,105.8,106.05,823285,75120,43487,
2026-09-22 14:09:22,23304.9,2026-09-22,23200.0,PE,14.0,14.0,14.05,8123745,354146,181238,10.98
2026-09-22 14:09:22,23304.9,2026-09-22,23250.0,CE,68.4,68.25,68.4,1399300,96391,77128,4.31
2026-09-22 14:09:22,23304.9,2026-09-22,23250.0,PE,26.9,26.8,26.9,9611138,293409,171532,11.05
2026-09-22 14:09:22,23304.9,2026-09-22,23300.0,CE,39.45,39.4,39.45,5821154,388663,328827,6.31
2026-09-22 14:09:22,23304.9,2026-09-22,23300.0,PE,48.0,47.85,48.0,16024057,371520,128024,11.59
