timestamp,nifty_spot,expiry,strike,option_type,ltp,bid,ask,volume,oi,oi_change,iv
2026-09-04 13:34:47,23934.65,2026-09-08,23450.0,CE,525.25,523.5,525.25,1277,717,55,15.33
2026-09-04 13:34:47,23934.65,2026-09-08,23450.0,PE,4.7,4.7,4.75,291502,48026,16964,11.78
2026-09-04 13:34:47,23934.65,2026-09-08,23500.0,CE,475.1,475.2,475.9,18729,4598,-392,15.23
2026-09-04 13:34:47,23934.65,2026-09-08,23500.0,PE,5.8,5.8,5.85,749852,178447,16217,11.28
2026-09-04 13:34:47,23934.65,2026-09-08,23550.0,CE,427.75,426.35,427.9,3256,1069,137,14.29
2026-09-04 13:34:47,23934.65,2026-09-08,23550.0,PE,7.45,7.45,7.5,431399,56591,23706,10.87
2026-09-04 13:34:47,23934.65,2026-09-08,23600.0,CE,380.0,379.7,379.9,20509,4524,331,13.4
2026-09-04 13:34:47,23934.65,2026-09-08,23600.0,PE,9.75,9.75,9.8,906219,157965,31105,10.44
2026-09-04 13:34:47,23934.65,2026-09-08,23650.0,CE,333.0,332.4,333.0,13521,2531,565,12.7
2026-09-04 13:34:47,23934.65,2026-09-08,23650.0,PE,13.55,13.5,13.55,731926,64903,23087,10.16
2026-09-04 13:34:47,23934.65,2026-09-08,23700.0,CE,288.2,287.6,288.35,89620,9296,-122,11.89
2026-09-04 13:34:47,23934.65,2026-09-08,23700.0,PE,18.5,18.4,18.5,1334359,153295,61042,9.85
2026-09-04 13:34:47,23934.65,2026-09-08,23750.0,CE,245.0,244.3,244.9,99823,9533,2993,11.25
2026-09-04 13:34:47,23934.65,2026-09-08,23750.0,PE,25.45,25.45,25.55,1148375,96469,55054,9.61
2026-09-04 13:34:47,23934.65,2026-09-08,23800.0,CE,204.8,204.4,204.85,635050,47336,4106,10.91
2026-09-04 13:34:47,23934.65,2026-09-08,23800.0,PE,35.1,35.05,35.2,2315818,248702,138607,9.4
2026-09-04 13:34:47,23934.65,2026-09-08,23850.0,CE,167.0,166.85,167.05,630761,32234,4578,10.47
2026-09-04 13:34:47,23934.65,2026-09-08,23850.0,PE,47.15,47.25,47.4,1938350,150858,94036,9.13
2026-09-04 13:34:47,23934.65,2026-09-08,23900.0,CE,132.95,132.7,132.95,2742510,138179,18594,10.17
2026-09-04 13:34:47,23934.65,2026-09-08,23900.0,PE,63.4,63.5,63.55,4780196,375302,268570,8.95
2026-09-04 13:34:47,23934.65,2026-09-08,23950.0,CE,102.65,102.65,102.85,3241788,188669,97714,9.89
2026-09-04 13:34:47,23934.65,2026-09-08,23950.0,PE,83.5,83.3,83.5,4146784,249046,206737,8.7
2026-09-04 13:34:47,23934.65,2026-09-08,24000.0,CE,77.35,77.35,77.5,5219790,379415,96442,9.7
2026-09-04 13:34:47,23934.65,2026-09-08,24000.0,PE,108.1,108.1,108.35,3884548,215815,102091,8.53
