timestamp,nifty_spot,expiry,strike,option_type,ltp,bid,ask,volume,oi,oi_change,iv
2026-09-11 13:39:32,23341.1,2026-09-15,22850.0,CE,512.95,513.85,515.75,1782,520,500,
2026-09-11 13:39:32,23341.1,2026-09-15,22850.0,PE,9.4,9.4,9.45,307916,44392,22340,14.13
2026-09-11 13:39:32,23341.1,2026-09-15,22900.0,CE,460.5,465.75,467.45,8125,1843,1253,
2026-09-11 13:39:32,23341.1,2026-09-15,22900.0,PE,11.3,11.25,11.35,650693,99930,46554,13.65
2026-09-11 13:39:32,23341.1,2026-09-15,22950.0,CE,417.55,418.95,420.1,5649,1070,944,
2026-09-11 13:39:32,23341.1,2026-09-15,22950.0,PE,13.9,13.9,14.0,505811,62259,18090,13.21
2026-09-11 13:39:32,23341.1,2026-09-15,23000.0,CE,372.5,372.5,373.15,124220,10525,5263,9.26
2026-09-11 13:39:32,23341.1,2026-09-15,23000.0,PE,17.55,17.45,17.55,1741461,233480,70182,12.79
2026-09-11 13:39:32,23341.1,2026-09-15,23050.0,CE,324.85,326.5,327.0,40780,3447,2977,8.96
2026-09-11 13:39:32,23341.1,2026-09-15,23050.0,PE,21.95,22.0,22.05,700760,76162,34924,12.42
2026-09-11 13:39:32,23341.1,2026-09-15,23100.0,CE,283.0,283.3,284.05,246547,10289,8058,9.93
2026-09-11 13:39:32,23341.1,2026-09-15,23100.0,PE,28.05,28.05,28.15,1618270,166771,77304,12.04
2026-09-11 13:39:32,23341.1,2026-09-15,23150.0,CE,241.3,241.0,241.3,361855,9196,8236,9.96
2026-09-11 13:39:32,23341.1,2026-09-15,23150.0,PE,36.45,36.35,36.45,1173890,108278,78204,11.78
2026-09-11 13:39:32,23341.1,2026-09-15,23200.0,CE,202.35,201.45,202.0,1495974,39323,33732,9.92
2026-09-11 13:39:32,23341.1,2026-09-15,23200.0,PE,47.3,47.3,47.4,3186141,320007,206275,11.57
2026-09-11 13:39:32,23341.1,2026-09-15,23250.0,CE,165.5,165.45,165.85,2292605,65297,62258,9.89
2026-09-11 13:39:32,23341.1,2026-09-15,23250.0,PE,60.75,60.55,60.75,3360209,292151,263496,11.33
2026-09-11 13:39:32,23341.1,2026-09-15,23300.0,CE,133.15,132.8,133.15,4442172,149114,134809,9.75
2026-09-11 13:39:32,23341.1,2026-09-15,23300.0,PE,78.1,78.1,78.25,4560060,452983,356944,11.32
2026-09-11 13:39:32,23341.1,2026-09-15,23350.0,CE,104.4,104.1,104.4,3169819,164970,154793,9.77
2026-09-11 13:39:32,23341.1,2026-09-15,23350.0,PE,98.7,98.6,98.8,2382626,221339,168794,11.14
2026-09-11 13:39:32,23341.1,2026-09-15,23400.0,CE,79.3,79.1,79.3,3447226,213842,126098,9.69
2026-09-11 13:39:32,23341.1,2026-09-15,23400.0,PE,124.65,124.3,124.65,1725001,153549,30680,11.17
2026-09-11 13:39:32,23341.1,2026-09-15,23450.0,CE,59.3,59.15,59.3,1802418,124470,47384,9.77
2026-09-11 13:39:32,23341.1,2026-09-15,23450.0,PE,154.2,153.75,154.15,487738,45210,-3407,11.14
2026-09-11 13:39:32,23341.1,2026-09-15,23500.0,CE,43.25,43.1,43.2,3135897,262281,82134,9.82
2026-09-11 13:39:32,23341.1,2026-09-15,23500.0,PE,188.5,188.05,188.5,568391,73951,-22121,11.26
2026-09-11 13:39:32,23341.1,2026-09-15,23550.0,CE,31.05,31.0,31.1,1453143,108171,34862,9.89
2026-09-11 13:39:32,23341.1,2026-09-15,23550.0,PE,226.0,225.85,226.5,104322,21347,-261,11.48
2026-09-11 13:39:32,23341.1,2026-09-15,23600.0,CE,22.25,22.2,22.25,1806810,162815,36175,10.01
2026-09-11 13:39:32,23341.1,2026-09-15,23600.0,PE,266.4,266.75,267.5,133699,26484,-8378,11.76
2026-09-11 13:39:32,23341.1,2026-09-15,23650.0,CE,15.95,15.85,15.95,1125958,87196,8486,10.13
2026-09-11 13:39:32,23341.1,2026-09-15,23650.0,PE,313.25,310.25,311.0,28216,9142,-3209,12.48
2026-09-11 13:39:32,23341.1,2026-09-15,23700.0,CE,11.45,11.4,11.45,1598831,176173,35649,10.39
2026-09-11 13:39:32,23341.1,2026-09-15,23700.0,PE,356.1,355.7,356.65,48500,26004,-7899,12.77
2026-09-11 13:39:32,23341.1,2026-09-15,23750.0,CE,8.55,8.5,8.55,935922,92859,14737,10.69
2026-09-11 13:39:32,23341.1,2026-09-15,23750.0,PE,405.05,401.95,403.15,10717,12148,-1983,13.89
2026-09-11 13:39:32,23341.1,2026-09-15,23800.0,CE,6.6,6.55,6.6,1313179,152608,5959,11.11
2026-09-11 13:39:32,23341.1,2026-09-15,23800.0,PE,453.6,449.8,451.35,27544,17923,-7937,13.93
2026-09-11 13:39:32,23341.1,2026-09-15,23850.0,CE,5.2,5.15,5.2,762945,53699,-2503,11.48
2026-09-11 13:39:32,23341.1,2026-09-15,23850.0,PE,502.4,498.35,501.05,4404,3563,-1335,15.65
2026-09-11 13:40:32,23339.3,2026-09-15,22850.0,CE,512.95,512.35,514.25,1782,520,500,
2026-09-11 13:40:32,23339.3,2026-09-15,22850.0,PE,9.4,9.35,9.45,308416,44389,22337,14.13
2026-09-11 13:40:32,23339.3,2026-09-15,22900.0,CE,464.45,464.25,466.0,8130,1840,1250,
2026-09-11 13:40:32,23339.3,2026-09-15,22900.0,PE,11.3,11.3,11.35,652272,99508,46132,13.65
2026-09-11 13:40:32,23339.3,2026-09-15,22950.0,CE,417.8,417.3,418.45,5656,1072,946,
2026-09-11 13:40:32,23339.3,2026-09-15,22950.0,PE,13.9,13.9,13.95,506854,62237,18068,13.21
2026-09-11 13:40:32,23339.3,2026-09-15,23000.0,CE,372.4,370.95,371.8,124410,10481,5219,9.26
2026-09-11 13:40:32,23339.3,2026-09-15,23000.0,PE,17.45,17.45,17.5,1744211,232785,69487,12.79
2026-09-11 13:40:32,23339.3,2026-09-15,23050.0,CE,326.9,324.85,325.7,40815,3439,2969,8.96
2026-09-11 13:40:32,23339.3,2026-09-15,23050.0,PE,22.15,22.1,22.15,701559,76374,35136,12.42
2026-09-11 13:40:32,23339.3,2026-09-15,23100.0,CE,282.05,281.4,282.05,246740,10333,8102,9.93
2026-09-11 13:40:32,23339.3,2026-09-15,23100.0,PE,28.25,28.25,28.35,1620463,166990,77523,12.04
2026-09-11 13:40:32,23339.3,2026-09-15,23150.0,CE,240.25,239.8,240.4,362046,9236,8276,9.96
2026-09-11 13:40:32,23339.3,2026-09-15,23150.0,PE,36.6,36.6,36.65,1176238,108648,78574,11.78
2026-09-11 13:40:32,23339.3,2026-09-15,23200.0,CE,201.35,200.7,201.05,1497443,39749,34158,9.92
2026-09-11 13:40:32,23339.3,2026-09-15,23200.0,PE,47.55,47.6,47.65,3191088,319624,205892,11.57
2026-09-11 13:40:32,23339.3,2026-09-15,23250.0,CE,164.5,164.45,164.9,2294255,65545,62506,9.89
2026-09-11 13:40:32,23339.3,2026-09-15,23250.0,PE,61.05,61.05,61.2,3364620,291852,263197,11.33
2026-09-11 13:40:32,23339.3,2026-09-15,23300.0,CE,132.1,132.1,132.4,4448315,149362,135057,9.75
2026-09-11 13:40:32,23339.3,2026-09-15,23300.0,PE,78.7,78.55,78.7,4568783,452451,356412,11.32
2026-09-11 13:40:32,23339.3,2026-09-15,23350.0,CE,103.55,103.25,103.55,3177461,166610,156433,9.77
2026-09-11 13:40:32,23339.3,2026-09-15,23350.0,PE,99.7,99.55,99.7,2391308,220035,167490,11.14
2026-09-11 13:40:32,23339.3,2026-09-15,23400.0,CE,78.5,78.45,78.55,3455743,215512,127768,9.69
2026-09-11 13:40:32,23339.3,2026-09-15,23400.0,PE,125.55,125.25,125.55,1730111,151950,29081,11.17
2026-09-11 13:40:32,23339.3,2026-09-15,23450.0,CE,58.55,58.45,58.55,1808630,126509,49423,9.77
2026-09-11 13:40:32,23339.3,2026-09-15,23450.0,PE,155.5,155.1,155.5,489420,44688,-3929,11.14
2026-09-11 13:40:32,23339.3,2026-09-15,23500.0,CE,42.9,42.75,42.9,3143019,263254,83107,9.82
2026-09-11 13:40:32,23339.3,2026-09-15,23500.0,PE,189.6,189.1,189.55,569901,73753,-22319,11.26
2026-09-11 13:40:32,23339.3,2026-09-15,23550.0,CE,30.9,30.8,30.9,1455650,108255,34946,9.89
2026-09-11 13:40:32,23339.3,2026-09-15,23550.0,PE,227.45,227.35,227.65,104565,21327,-281,11.48
2026-09-11 13:40:32,23339.3,2026-09-15,23600.0,CE,22.05,22.0,22.05,1810789,163026,36386,10.01
2026-09-11 13:40:32,23339.3,2026-09-15,23600.0,PE,266.55,268.0,268.75,133906,26450,-8412,11.76
2026-09-11 13:40:32,23339.3,2026-09-15,23650.0,CE,15.85,15.75,15.85,1128412,87410,8700,10.13
2026-09-11 13:40:32,23339.3,2026-09-15,23650.0,PE,309.6,311.35,312.2,28282,9151,-3200,12.48
2026-09-11 13:40:32,23339.3,2026-09-15,23700.0,CE,11.35,11.3,11.35,1601617,175831,35307,10.39
2026-09-11 13:40:32,23339.3,2026-09-15,23700.0,PE,357.75,356.9,357.9,48593,25999,-7904,12.77
2026-09-11 13:40:32,23339.3,2026-09-15,23750.0,CE,8.5,8.45,8.5,937614,92784,14662,10.69
2026-09-11 13:40:32,23339.3,2026-09-15,23750.0,PE,402.8,403.45,404.65,10767,12116,-2015,13.89
2026-09-11 13:40:32,23339.3,2026-09-15,23800.0,CE,6.55,6.5,6.6,1316585,152692,6043,11.11
2026-09-11 13:40:32,23339.3,2026-09-15,23800.0,PE,450.0,451.55,453.0,27583,17924,-7936,13.93
2026-09-11 13:40:32,23339.3,2026-09-15,23850.0,CE,5.2,5.15,5.2,765135,53679,-2523,11.48
2026-09-11 13:40:32,23339.3,2026-09-15,23850.0,PE,500.0,500.0,501.85,4419,3556,-1342,15.65
2026-09-11 13:41:33,23342.1,2026-09-15,22850.0,CE,512.95,507.9,509.95,1782,521,501,
2026-09-11 13:41:33,23342.1,2026-09-15,22850.0,PE,9.45,9.45,9.5,308609,44370,22318,14.39
2026-09-11 13:41:33,23342.1,2026-09-15,22900.0,CE,460.0,460.0,461.45,8134,1841,1251,
2026-09-11 13:41:33,23342.1,2026-09-15,22900.0,PE,11.45,11.4,11.45,652735,99334,45958,13.9
2026-09-11 13:41:33,23342.1,2026-09-15,22950.0,CE,413.0,412.95,414.0,5657,1072,946,
2026-09-11 13:41:33,23342.1,2026-09-15,22950.0,PE,14.1,14.1,14.15,507680,62014,17845,13.47
2026-09-11 13:41:33,23342.1,2026-09-15,23000.0,CE,366.85,366.6,367.55,124531,10440,5178,
2026-09-11 13:41:33,23342.1,2026-09-15,23000.0,PE,17.85,17.75,17.85,1746185,233774,70476,13.09
2026-09-11 13:41:33,23342.1,2026-09-15,23050.0,CE,319.75,320.95,321.8,40827,3420,2950,
2026-09-11 13:41:33,23342.1,2026-09-15,23050.0,PE,22.5,22.5,22.55,702066,76194,34956,12.76
2026-09-11 13:41:33,23342.1,2026-09-15,23100.0,CE,277.8,277.75,278.5,247218,10318,8087,
2026-09-11 13:41:33,23342.1,2026-09-15,23100.0,PE,28.8,28.75,28.85,1621707,166643,77176,12.45
2026-09-11 13:41:33,23342.1,2026-09-15,23150.0,CE,236.35,236.5,237.0,362155,9180,8220,6.8
2026-09-11 13:41:33,23342.1,2026-09-15,23150.0,PE,37.2,37.1,37.25,1177113,108461,78387,12.24
2026-09-11 13:41:33,23342.1,2026-09-15,23200.0,CE,197.15,197.0,197.4,1498577,39693,34102,7.83
2026-09-11 13:41:33,23342.1,2026-09-15,23200.0,PE,48.45,48.45,48.6,3194240,318785,205053,12.09
2026-09-11 13:41:33,23342.1,2026-09-15,23250.0,CE,161.45,161.05,161.45,2295742,65756,62717,8.21
2026-09-11 13:41:33,23342.1,2026-09-15,23250.0,PE,62.3,62.2,62.35,3367397,291040,262385,11.94
2026-09-11 13:41:33,23342.1,2026-09-15,23300.0,CE,129.5,129.15,129.45,4453515,148173,133868,8.53
2026-09-11 13:41:33,23342.1,2026-09-15,23300.0,PE,80.05,80.05,80.3,4576380,450247,354208,11.92
2026-09-11 13:41:33,23342.1,2026-09-15,23350.0,CE,100.7,100.7,100.95,3184479,167726,157549,8.73
2026-09-11 13:41:33,23342.1,2026-09-15,23350.0,PE,101.55,101.45,101.55,2396736,218647,166102,11.92
2026-09-11 13:41:33,23342.1,2026-09-15,23400.0,CE,76.5,76.3,76.5,3462084,216415,128671,8.81
2026-09-11 13:41:33,23342.1,2026-09-15,23400.0,PE,127.9,127.6,127.9,1734399,150670,27801,12.06
2026-09-11 13:41:33,23342.1,2026-09-15,23450.0,CE,56.65,56.85,56.95,1812266,127019,49933,8.94
2026-09-11 13:41:33,23342.1,2026-09-15,23450.0,PE,158.05,157.65,158.05,490420,44337,-4280,12.29
2026-09-11 13:41:33,23342.1,2026-09-15,23500.0,CE,41.75,41.6,41.75,3148086,264406,84259,9.09
2026-09-11 13:41:33,23342.1,2026-09-15,23500.0,PE,191.7,192.0,192.05,570596,73479,-22593,12.63
2026-09-11 13:41:33,23342.1,2026-09-15,23550.0,CE,29.9,29.85,29.95,1457932,108473,35164,9.24
2026-09-11 13:41:33,23342.1,2026-09-15,23550.0,PE,230.65,230.6,231.15,104628,21305,-303,13.11
2026-09-11 13:41:33,23342.1,2026-09-15,23600.0,CE,21.3,21.3,21.4,1815463,163285,36645,9.43
2026-09-11 13:41:33,23342.1,2026-09-15,23600.0,PE,271.9,271.85,272.0,134218,26299,-8563,13.48
2026-09-11 13:41:33,23342.1,2026-09-15,23650.0,CE,15.35,15.3,15.35,1130561,87238,8528,9.67
2026-09-11 13:41:33,23342.1,2026-09-15,23650.0,PE,316.05,315.35,316.2,28306,9129,-3222,14.13
2026-09-11 13:41:33,23342.1,2026-09-15,23700.0,CE,11.05,11.0,11.05,1603165,175669,35145,9.92
2026-09-11 13:41:33,23342.1,2026-09-15,23700.0,PE,363.55,360.95,362.05,48822,25909,-7994,15.34
2026-09-11 13:41:33,23342.1,2026-09-15,23750.0,CE,8.3,8.25,8.3,938112,92423,14301,10.28
2026-09-11 13:41:33,23342.1,2026-09-15,23750.0,PE,407.4,406.95,407.6,10795,12081,-2050,16.01
2026-09-11 13:41:33,23342.1,2026-09-15,23800.0,CE,6.4,6.4,6.45,1317470,152999,6350,10.7
2026-09-11 13:41:33,23342.1,2026-09-15,23800.0,PE,458.0,455.1,456.65,27598,17920,-7940,16.91
2026-09-11 13:41:33,23342.1,2026-09-15,23850.0,CE,5.1,5.05,5.1,765533,54027,-2175,11.16
2026-09-11 13:41:33,23342.1,2026-09-15,23850.0,PE,502.05,504.3,506.2,4429,3533,-1365,18.22
2026-09-11 13:42:33,23317.75,2026-09-15,22800.0,CE,540.1,533.05,538.2,4777,1413,759,
2026-09-11 13:42:33,23317.75,2026-09-15,22800.0,PE,8.3,8.3,8.35,624439,114608,41333,14.91
2026-09-11 13:42:33,23317.75,2026-09-15,22850.0,CE,497.15,494.4,502.3,1832,520,500,
2026-09-11 13:42:33,23317.75,2026-09-15,22850.0,PE,9.7,9.65,9.7,309491,44370,22318,14.39
2026-09-11 13:42:33,23317.75,2026-09-15,22900.0,CE,440.0,439.35,441.05,8381,1841,1251,
2026-09-11 13:42:33,23317.75,2026-09-15,22900.0,PE,12.0,12.0,12.05,656486,99334,45958,13.9
