timestamp,nifty_spot,expiry,strike,option_type,ltp,bid,ask,volume,oi,oi_change,iv
2026-09-08 13:41:22,23646.05,2026-09-08,23150.0,CE,514.35,506.4,508.4,230,91,62,26.73
2026-09-08 13:41:22,23646.05,2026-09-08,23150.0,PE,0.4,0.4,0.45,677871,74244,47218,16.49
2026-09-08 13:41:22,23646.05,2026-09-08,23200.0,CE,459.85,456.5,458.2,1466,472,309,18.04
2026-09-08 13:41:22,23646.05,2026-09-08,23200.0,PE,0.45,0.45,0.5,706625,145751,86068,15.23
2026-09-08 13:41:22,23646.05,2026-09-08,23250.0,CE,404.55,406.05,408.5,1497,476,446,
2026-09-08 13:41:22,23646.05,2026-09-08,23250.0,PE,0.55,0.55,0.6,410805,69934,32481,14.24
2026-09-08 13:41:22,23646.05,2026-09-08,23300.0,CE,358.4,356.9,358.05,7517,1148,823,13.11
2026-09-08 13:41:22,23646.05,2026-09-08,23300.0,PE,0.65,0.65,0.7,909310,155176,84001,12.82
2026-09-08 13:41:22,23646.05,2026-09-08,23350.0,CE,307.8,307.0,307.95,7273,1134,924,14.04
2026-09-08 13:41:22,23646.05,2026-09-08,23350.0,PE,0.8,0.8,0.85,603022,77098,39752,11.56
2026-09-08 13:41:22,23646.05,2026-09-08,23400.0,CE,258.3,257.75,258.55,49602,5765,4869,11.8
2026-09-08 13:41:22,23646.05,2026-09-08,23400.0,PE,1.2,1.2,1.25,1354094,164700,92608,10.69
2026-09-08 13:41:22,23646.05,2026-09-08,23450.0,CE,208.85,208.35,208.8,69012,5529,4930,10.31
2026-09-08 13:41:22,23646.05,2026-09-08,23450.0,PE,1.65,1.6,1.65,2039482,160173,92066,9.34
2026-09-08 13:41:22,23646.05,2026-09-08,23500.0,CE,160.3,159.75,160.15,617075,43657,38432,9.3
2026-09-08 13:41:22,23646.05,2026-09-08,23500.0,PE,3.25,3.2,3.25,4705074,293991,123813,8.57
2026-09-08 13:41:22,23646.05,2026-09-08,23550.0,CE,113.2,113.2,113.5,766041,37847,36004,8.43
2026-09-08 13:41:22,23646.05,2026-09-08,23550.0,PE,6.65,6.6,6.65,6503500,300996,229747,7.86
2026-09-08 13:41:22,23646.05,2026-09-08,23600.0,CE,71.35,71.3,71.4,3714372,196147,186371,7.63
2026-09-08 13:41:22,23646.05,2026-09-08,23600.0,PE,14.9,14.9,14.95,13369696,599190,445203,7.36
2026-09-08 13:41:22,23646.05,2026-09-08,23650.0,CE,38.0,38.0,38.1,7622578,452335,440839,7.24
2026-09-08 13:41:22,23646.05,2026-09-08,23650.0,PE,32.1,32.05,32.15,16811113,508651,390774,7.03
2026-09-08 13:41:22,23646.05,2026-09-08,23700.0,CE,18.5,18.5,18.6,15203412,796256,751015,7.43
2026-09-08 13:41:22,23646.05,2026-09-08,23700.0,PE,62.1,62.1,62.2,15358459,326619,180938,7.12
2026-09-08 13:41:22,23646.05,2026-09-08,23750.0,CE,9.4,9.35,9.4,8701706,469576,388068,8.09
2026-09-08 13:41:22,23646.05,2026-09-08,23750.0,PE,103.0,103.0,103.05,5157087,99514,-11658,7.66
2026-09-08 13:41:22,23646.05,2026-09-08,23800.0,CE,5.15,5.15,5.2,8439256,533749,270442,8.98
2026-09-08 13:41:22,23646.05,2026-09-08,23800.0,PE,149.0,148.6,149.0,3166602,92151,-51714,8.34
2026-09-08 13:41:22,23646.05,2026-09-08,23850.0,CE,3.1,3.1,3.15,3914563,281393,96907,9.99
2026-09-08 13:41:22,23646.05,2026-09-08,23850.0,PE,196.15,196.15,196.7,795113,33746,-19915,8.62
2026-09-08 13:41:22,23646.05,2026-09-08,23900.0,CE,2.15,2.15,2.2,3778934,302117,40608,11.11
2026-09-08 13:41:22,23646.05,2026-09-08,23900.0,PE,246.0,245.35,246.0,526626,32675,-21706,8.69
2026-09-08 13:41:22,23646.05,2026-09-08,23950.0,CE,1.7,1.65,1.7,2270859,197359,38863,12.41
2026-09-08 13:41:22,23646.05,2026-09-08,23950.0,PE,296.0,295.1,295.65,99405,13804,-13077,9.76
2026-09-08 13:41:22,23646.05,2026-09-08,24000.0,CE,1.2,1.2,1.25,2649734,371739,46383,13.47
2026-09-08 13:41:22,23646.05,2026-09-08,24000.0,PE,344.5,343.65,344.75,151644,43235,-17399,11.78
2026-09-08 13:41:22,23646.05,2026-09-08,24050.0,CE,1.05,1.0,1.05,1390168,154606,3166,14.62
2026-09-08 13:41:22,23646.05,2026-09-08,24050.0,PE,394.4,393.85,395.0,15449,6946,-2975,14.8
2026-09-08 13:41:22,23646.05,2026-09-08,24100.0,CE,0.8,0.8,0.85,1625784,209174,-13682,15.7
2026-09-08 13:41:22,23646.05,2026-09-08,24100.0,PE,444.7,443.85,445.3,23122,13764,-4193,17.64
