timestamp,nifty_spot,expiry,strike,option_type,ltp,bid,ask,volume,oi,oi_change,iv
2026-09-01 14:15:44,23965.75,2026-09-01,23450.0,CE,520.2,517.6,521.3,430,182,124,
2026-09-01 14:15:44,23965.75,2026-09-01,23450.0,PE,0.6,0.55,0.6,691613,66007,45507,16.96
2026-09-01 14:15:44,23965.75,2026-09-01,23500.0,CE,467.1,468.8,470.8,6792,1789,-291,
2026-09-01 14:15:44,23965.75,2026-09-01,23500.0,PE,0.65,0.6,0.65,1930937,172893,61429,15.99
2026-09-01 14:15:44,23965.75,2026-09-01,23550.0,CE,417.05,418.3,420.55,1624,547,299,
2026-09-01 14:15:44,23965.75,2026-09-01,23550.0,PE,0.6,0.6,0.65,819203,52128,31739,14.32
2026-09-01 14:15:44,23965.75,2026-09-01,23600.0,CE,367.8,369.5,370.7,4238,1110,610,
2026-09-01 14:15:44,23965.75,2026-09-01,23600.0,PE,0.7,0.65,0.7,1401707,122391,53027,13.66
2026-09-01 14:15:44,23965.75,2026-09-01,23650.0,CE,317.85,318.75,319.85,3949,1182,886,
2026-09-01 14:15:44,23965.75,2026-09-01,23650.0,PE,0.75,0.75,0.8,955669,74648,40179,12.35
2026-09-01 14:15:44,23965.75,2026-09-01,23700.0,CE,268.4,269.8,270.5,26608,3080,407,
2026-09-01 14:15:44,23965.75,2026-09-01,23700.0,PE,1.05,1.05,1.1,2001425,163845,59659,11.75
2026-09-01 14:15:44,23965.75,2026-09-01,23750.0,CE,220.5,220.3,220.9,22932,3426,2915,
2026-09-01 14:15:44,23965.75,2026-09-01,23750.0,PE,1.7,1.65,1.7,2194724,96495,57015,10.96
2026-09-01 14:15:44,23965.75,2026-09-01,23800.0,CE,171.25,171.55,171.7,187382,18177,14858,
2026-09-01 14:15:44,23965.75,2026-09-01,23800.0,PE,3.0,2.95,3.0,4055143,193661,79413,10.31
2026-09-01 14:15:44,23965.75,2026-09-01,23850.0,CE,125.0,124.65,124.95,246092,19272,18164,
2026-09-01 14:15:44,23965.75,2026-09-01,23850.0,PE,5.6,5.6,5.65,4965068,188193,136929,9.68
2026-09-01 14:15:44,23965.75,2026-09-01,23900.0,CE,80.7,80.85,80.9,1419938,100937,95974,
