timestamp,nifty_spot,expiry,strike,option_type,ltp,bid,ask,volume,oi,oi_change,iv
2026-09-17 14:15:25,23277.25,2026-09-22,22800.0,CE,502.3,502.45,503.8,10757,2121,347,
2026-09-17 14:15:25,23277.25,2026-09-22,22800.0,PE,16.35,16.3,16.4,651271,85598,7479,14.29
2026-09-17 14:15:25,23277.25,2026-09-22,22850.0,CE,454.15,455.75,457.45,2088,907,94,6.59
2026-09-17 14:15:25,23277.25,2026-09-22,22850.0,PE,19.9,19.85,19.95,379899,28031,8545,13.96
2026-09-17 14:15:25,23277.25,2026-09-22,22900.0,CE,410.0,410.15,411.45,14785,2179,371,8.84
2026-09-17 14:15:25,23277.25,2026-09-22,22900.0,PE,24.25,24.25,24.35,766822,57484,2473,13.65
2026-09-17 14:15:25,23277.25,2026-09-22,22950.0,CE,366.75,366.1,367.1,7966,1279,508,8.74
2026-09-17 14:15:25,23277.25,2026-09-22,22950.0,PE,29.85,29.85,29.95,545023,33571,10315,13.33
2026-09-17 14:15:25,23277.25,2026-09-22,23000.0,CE,323.5,323.2,323.85,120470,14021,3093,9.54
2026-09-17 14:15:25,23277.25,2026-09-22,23000.0,PE,37.25,37.1,37.25,1419863,146134,21019,13.1
2026-09-17 14:15:25,23277.25,2026-09-22,23050.0,CE,282.2,281.95,282.75,46209,4287,1770,10.09
2026-09-17 14:15:25,23277.25,2026-09-22,23050.0,PE,45.5,45.5,45.65,600955,37650,6143,12.83
2026-09-17 14:15:25,23277.25,2026-09-22,23100.0,CE,243.55,243.05,243.55,273719,17502,2657,9.94
2026-09-17 14:15:25,23277.25,2026-09-22,23100.0,PE,56.35,56.2,56.35,1206240,90819,25510,12.59
2026-09-17 14:15:25,23277.25,2026-09-22,23150.0,CE,205.7,205.75,206.25,297903,12643,2169,9.98
2026-09-17 14:15:25,23277.25,2026-09-22,23150.0,PE,69.2,69.2,69.3,854850,53098,14170,12.38
2026-09-17 14:15:25,23277.25,2026-09-22,23200.0,CE,171.8,171.65,172.0,1398676,71263,4928,9.95
2026-09-17 14:15:25,23277.25,2026-09-22,23200.0,PE,84.85,84.75,84.9,2450904,156067,41188,12.19
2026-09-17 14:15:25,23277.25,2026-09-22,23250.0,CE,140.0,140.0,140.3,1633778,68820,27269,9.9
2026-09-17 14:15:25,23277.25,2026-09-22,23250.0,PE,103.75,103.6,103.85,1881151,93321,42836,12.1
2026-09-17 14:15:25,23277.25,2026-09-22,23300.0,CE,112.85,112.55,112.85,2730006,140623,73080,9.92
2026-09-17 14:15:25,23277.25,2026-09-22,23300.0,PE,126.0,125.75,126.0,2511587,114088,64878,12.0
2026-09-17 14:15:25,23277.25,2026-09-22,23350.0,CE,88.75,88.55,88.75,1501490,71549,45016,9.85
2026-09-17 14:15:25,23277.25,2026-09-22,23350.0,PE,151.6,151.55,151.9,895646,29522,17725,12.0
2026-09-17 14:15:25,23277.25,2026-09-22,23400.0,CE,68.3,68.3,68.4,1793115,132477,45724,9.81
2026-09-17 14:15:25,23277.25,2026-09-22,23400.0,PE,181.85,181.4,181.85,743215,52053,6052,12.07
2026-09-17 14:15:25,23277.25,2026-09-22,23450.0,CE,51.65,51.65,51.8,840650,47362,12857,9.83
2026-09-17 14:15:25,23277.25,2026-09-22,23450.0,PE,214.5,214.5,214.95,176835,10639,1894,12.15
2026-09-17 14:15:25,23277.25,2026-09-22,23500.0,CE,38.35,38.25,38.4,1684204,132716,16807,9.82
2026-09-17 14:15:25,23277.25,2026-09-22,23500.0,PE,251.0,250.3,251.0,282278,36798,1156,12.38
2026-09-17 14:15:25,23277.25,2026-09-22,23550.0,CE,27.95,27.9,28.0,777506,52200,19820,9.8
2026-09-17 14:15:25,23277.25,2026-09-22,23550.0,PE,290.55,289.75,290.55,45038,4100,1854,12.4
2026-09-17 14:15:25,23277.25,2026-09-22,23600.0,CE,20.1,20.0,20.05,1148931,95239,20039,9.84
2026-09-17 14:15:25,23277.25,2026-09-22,23600.0,PE,332.6,332.35,333.3,58384,11539,-4197,13.03
